,name,notes,physicalAddress,postalAddress,dn,aliases,region,ntgGeographicDefinition,enrolment,enrolmentDataSource,description,religion,hasImage,preSchool,faftSchool,primarySchool,middleSchool,seniorSchool,telephoneNumber,businessCategories,ntgGazettedRegion,directorate,schoolElectorate,facsimileTelephoneNumber,councilMail,remoteDefinition,long,lat,uri,mail,preSchoolInfo,schoolManagement
56,Douglas Daly School,,"{'description': 'Jungawa Rd', 'state': 'NT', 'postCode': 'Douglas-Daly', 'displayAddress': 'Jungawa Rd, Douglas-Daly, NT'}","{'description': 'PMB 46', 'state': 'NT', 'postCode': 'via Winnellie, 0822', 'displayAddress': 'PMB 46, via Winnellie, 0822, NT'}","ou=Douglas Daly School,ou=Government,ou=NTSchools,ou=DEET,dc=nt,dc=gov,c=au",[],Top End,Remote,10,2021 Census - 1st week August,not available,Government,False,True,False,True,False,False,(08) 8978 2836,['Small School'],,North ,Daly,(08) 8978 2512,tba,Remote Category 2,131.188,-13.8323,http://www.douglasdalyschool.nt.edu.au/,rosemary.sullivan@education.nt.gov.au,,"[{'firstName': 'Geraldine', 'lastName': 'Hogarth', 'position': 'Administration Manager', 'email': 'geraldine.hogarth@education.nt.gov.au', 'phone': '(08) 894 49404'}, {'firstName': 'Margaret', 'lastName': 'McKee', 'position': 'Business Manager', 'email': 'Margaret.mckee@education.nt.gov.au', 'phone': '(08) 894 49404'}, {'firstName': 'Rosemary', 'lastName': 'Sullivan', 'position': 'Principal', 'email': 'rosemary.sullivan@education.nt.gov.au', 'phone': '(08) 8978 2836'}]"
57,Dripstone Middle School,,"{'description': '10 Delamere St', 'state': 'NT', 'postCode': 'Tiwi, 0810', 'displayAddress': '10 Delamere St, Tiwi, 0810, NT'}","{'description': 'PO Box  41370', 'state': 'NT', 'postCode': 'CASUARINA, 0811', 'displayAddress': 'PO Box  41370, CASUARINA, 0811, NT'}","ou=Dripstone Middle School,ou=Government,ou=NTSchools,ou=DEET,dc=nt,dc=gov,c=au",[],Darwin,Outer Regional,557,2021 Census - 1st week August,not available,Government,True,False,False,False,True,False,(08) 898 37777,['Middle School'],,North ,Casuarina,,tba,Urban,130.88296,-12.3661,http://www.dripstonemiddle.nt.edu.au,dripstone.middle@education.nt.gov.au,,"[{'firstName': 'Katerina', 'lastName': 'Laouris', 'position': 'Business Manager', 'email': 'katerina.laouris@education.nt.gov.au', 'phone': '(08) 898 37777'}, {'firstName': 'Nektaria', 'lastName': 'Pikoulos', 'position': 'Principal', 'email': 'nektaria.pikoulos@education.nt.gov.au', 'phone': '(08) 898 37777'}]"
58,Driver Pre School,,"{'description': '37 Driver Ave', 'state': 'NT', 'postCode': 'Driver', 'displayAddress': '37 Driver Ave, Driver, NT'}","{'description': None, 'state': None, 'postCode': ', ', 'displayAddress': ', , , '}","ou=Driver Pre School,ou=Driver Primary School,ou=Government,ou=NTSchools,ou=DEET,dc=nt,dc=gov,c=au",[],Top End,,,2021 Census - 1st week August,,,False,True,False,False,False,False,(08) 893 59055,['Preschool'],,,Drysdale,,,,,,,,,[]
59,Driver Primary School,,"{'description': '37 Driver Ave', 'state': 'NT', 'postCode': 'Driver, 0830', 'displayAddress': '37 Driver Ave, Driver, 0830, NT'}","{'description': 'PO Box  33', 'state': 'NT', 'postCode': 'PALMERSTON, 0831', 'displayAddress': 'PO Box  33, PALMERSTON, 0831, NT'}","ou=Driver Primary School,ou=Government,ou=NTSchools,ou=DEET,dc=nt,dc=gov,c=au",[],Top End,Outer Regional,482,2021 Census - 1st week August,not available,Government,True,True,False,True,False,False,(08) 893 59000,['Primary School'],,North ,Drysdale,,tba,Urban,130.97518,-12.48559,http://www.driverprimary.nt.edu.au,admin.drivesch@education.nt.gov.au,,"[{'firstName': 'Warwick', 'lastName': 'Peter-Budge', 'position': 'Principal', 'email': 'warwick.peter-budge@education.nt.gov.au', 'phone': '(08) 893 59000'}]"
60,Dundee Beach School,,"{'description': '500 Namarada Dr', 'state': 'NT', 'postCode': 'Dundee Beach', 'displayAddress': '500 Namarada Dr, Dundee Beach, NT'}","{'description': 'PO Box 145', 'state': 'NT', 'postCode': 'Dundee Beach, 0840', 'displayAddress': 'PO Box 145, Dundee Beach, 0840, NT'}","ou=Dundee Beach School,ou=Government,ou=NTSchools,ou=DEET,dc=nt,dc=gov,c=au",[],Top End,Remote,24,2021 Census - 1st week August,not available,Government,True,True,False,True,False,False,(08) 8978 2212,['Small School'],,North ,Daly,,julie.gapps@gmail.com,Remote Category 2,130.378,-12.7514,n/a,dundee.school@education.nt.gov.au,,"[{'firstName': 'Finance', 'lastName': 'Dundee', 'position': 'Administration Manager', 'email': 'finance.dundee@education.nt.gov.au', 'phone': '(08) 8978 2212'}, {'firstName': 'Leon', 'lastName': 'Syme', 'position': 'Principal', 'email': 'leon.syme@education.nt.gov.au', 'phone': '(08) 8978 2212'}]"
61,Durack Pre School,,"{'description': '50 Woodlake Blvd', 'state': 'NT', 'postCode': 'Durack', 'displayAddress': '50 Woodlake Blvd, Durack, NT'}","{'description': None, 'state': None, 'postCode': ', ', 'displayAddress': ', , , '}","ou=Durack Pre School,ou=Durack Primary School,ou=Government,ou=NTSchools,ou=DEET,dc=nt,dc=gov,c=au",[],Top End,,,2021 Census - 1st week August,,,False,True,False,False,False,False,(08) 899 77555,['Preschool'],,,Spillett,,,,,,,,,[]
62,Durack Primary School,,"{'description': '50 Woodlake Bvd', 'state': 'NT', 'postCode': 'Durack, 0830', 'displayAddress': '50 Woodlake Bvd, Durack, 0830, NT'}","{'description': 'PO Box  225', 'state': 'NT', 'postCode': 'PALMERSTON, 0830', 'displayAddress': 'PO Box  225, PALMERSTON, 0830, NT'}","ou=Durack Primary School,ou=Government,ou=NTSchools,ou=DEET,dc=nt,dc=gov,c=au",[],Top End,Outer Regional,462,2021 Census - 1st week August,not available,Government,False,True,False,True,False,False,(08) 899 77555,['Primary School'],,North ,Spillett,,tba,Urban,130.97409,-12.47586,http://www.durackschool.nt.edu.au,durack.school@education.nt.gov.au,,"[{'firstName': 'Cindy', 'lastName': 'McLaren', 'position': 'Principal', 'email': 'Cindy.McLaren@education.nt.gov.au', 'phone': '(08) 899 77555'}]"
63,Elliott School,,"{'description': '91 Bray St', 'state': 'NT', 'postCode': 'Elliott', 'displayAddress': '91 Bray St, Elliott, NT'}","{'description': 'C/- Elliott Post Office', 'state': 'NT', 'postCode': 'Elliott, 0862', 'displayAddress': 'C/- Elliott Post Office, Elliott, 0862, NT'}","ou=Elliott School,ou=Government,ou=NTSchools,ou=DEET,dc=nt,dc=gov,c=au",[],Barkly,Very Remote,69,2021 Census - 1st week August,not available,Government,True,True,True,True,True,False,(08) 8969 2122,['Small School'],,Central Australia,Barkly,(08) 8969 2053,Lora Jackson,Remote Category 1,133.54,-17.5553,n/a,kevin.gaskin@education.nt.gov.au,,"[{'firstName': 'Cheyenne', 'lastName': 'Ellis', 'position': 'Business Manager', 'email': 'Cheyenne.Ellis@education.nt.gov.au', 'phone': '(08) 896 32065'}, {'firstName': 'Kevin', 'lastName': 'Gaskin', 'position': 'Principal', 'email': 'kevin.gaskin@education.nt.gov.au', 'phone': '(08) 8969 2122'}]"
64,Epenarra School,,"{'description': 'N/A', 'state': 'NT', 'postCode': 'Wutunugurra (Epenarra)', 'displayAddress': 'N/A, Wutunugurra (Epenarra), NT'}","{'description': 'PMB 270', 'state': 'NT', 'postCode': 'via Alice Springs, 0861', 'displayAddress': 'PMB 270, via Alice Springs, 0861, NT'}","ou=Epenarra School,ou=Government,ou=NTSchools,ou=DEET,dc=nt,dc=gov,c=au","['Wutunugurra', 'Epenarra', 'Wuttunugurr', 'Wutunurrgura']",Barkly,Very Remote,39,2021 Census - 1st week August,not available,Government,True,True,True,True,True,True,(08) 8964 1512,['Small School'],,Central Australia,Barkly,(08) 8964 1689,n/a,Remote Category 3,135.24972,-20.46311,n/a,jennifer.cadzow@education.nt.gov.au,,"[{'firstName': 'Jennifer', 'lastName': 'Cadzow', 'position': 'Principal', 'email': 'jennifer.cadzow@education.nt.gov.au', 'phone': '(08) 8964 1512'}, {'firstName': 'Julie', 'lastName': 'Marsh', 'position': 'Business Manager', 'email': 'julie.marsh1@education.nt.gov.au', 'phone': '(08) 89632065'}]"
65,The Essington International School Darwin,,"{'description': '22 Chapman Rd', 'state': 'NT', 'postCode': 'Rapid Creek', 'displayAddress': '22 Chapman Rd, Rapid Creek, NT'}","{'description': 'PO Box 42321', 'state': 'NT', 'postCode': 'Casuarina, 0811', 'displayAddress': 'PO Box 42321, Casuarina, 0811, NT'}","ou=Essington School,ou=Non-Government,ou=NTSchools,ou=DEET,dc=nt,dc=gov,c=au",['The Essington International School Darwin'],Darwin,Provincial,1177,2018 Census,not available,Independent,False,True,False,True,True,True,(08) 8985 0100,['Primary School'],,Darwin,Nightcliff,(08) 8948 1910,,,130.85719,-12.38223,http://www.essington.nt.edu.au,administration@essington.nt.edu.au,,"[{'firstName': 'Karen', 'lastName': 'Rohrs', 'position': 'Principal', 'email': 'Karen.Rohrs@essington.nt.edu.au', 'phone': '8985 0100'}]"
66,Families as First Teachers,,"{'description': 'Mitchell St', 'state': 'NT', 'postCode': 'Darwin, 0800', 'displayAddress': 'Mitchell St, Darwin, 0800, NT'}","{'description': 'GPO Box 4821', 'state': 'NT', 'postCode': 'Darwin, 0801', 'displayAddress': 'GPO Box 4821, Darwin, 0801, NT'}","ou=Family as First Teachers,ou=Government,ou=NTSchools,ou=DEET,dc=nt,dc=gov,c=au",['Families as First Teachers'],Darwin,,,2021 Census - 1st week August,na,Government,False,True,False,True,False,False,(08) 899 93550,['Other'],,,Port Darwin,8999 5677,na,n/a,,,n/a,faft.doe@education.nt.gov.au,,[]
67,Finke School,,"{'description': 'N/A', 'state': 'NT', 'postCode': 'Finke', 'displayAddress': 'N/A, Finke, NT'}","{'description': 'PMB 30', 'state': 'NT', 'postCode': 'via Alice Springs, 0871', 'displayAddress': 'PMB 30, via Alice Springs, 0871, NT'}","ou=Finke School,ou=Government,ou=NTSchools,ou=DEET,dc=nt,dc=gov,c=au",['Aputula'],Central,Very Remote,37,2021 Census - 1st week August,not available,Government,True,False,False,True,True,False,(08) 8956 0960,['Small School'],,Central Australia,Namatjira,(08) 8956 0960,tba,Remote Category 3,134.578486,-25.5821,n/a,finke.school@education.nt.gov.au,,"[{'firstName': 'Lufen', 'lastName': 'Cowham', 'position': 'Administration Manager', 'email': 'lufen.cowham@education.nt.gov.au', 'phone': '(08) 895 11659'}, {'firstName': 'Nanci', 'lastName': 'Morrison', 'position': 'Principal', 'email': 'nanci.morrison@education.nt.gov.au', 'phone': '(08) 8956 0960'}]"
68,Forrest Parade School,,"{'description': '120 Flynn Circuit', 'state': 'NT', 'postCode': 'Bellamack, 0832', 'displayAddress': '120 Flynn Circuit, Bellamack, 0832, NT'}","{'description': '120 Flynn Circuit', 'state': 'NT', 'postCode': 'Bellamack, 0832', 'displayAddress': '120 Flynn Circuit, Bellamack, 0832, NT'}","ou=Forrest Parade School,ou=Government,ou=NTSchools,ou=DEET,dc=nt,dc=gov,c=au",[],Top End,Outer Regional,115,2021 Census - 1st week August,tba,Government,True,False,False,False,False,False,(08) 899 77111,['Specialist School'],,North,Blain,,tba,Urban,130.980725,-12.513457,https://forrestparadeschool.nt.edu.au/wp/,admin.forrestps@education.nt.gov.au,,"[{'firstName': 'Annie', 'lastName': 'Keighran', 'position': 'Principal', 'email': 'annie.keighran@education.nt.gov.au', 'phone': '(08) 899 77101'}, {'firstName': 'Jenny', 'lastName': 'Washington', 'position': 'Business Manager', 'email': 'jenny.washington@education.nt.gov.au', 'phone': '(08) 899 77111'}]"
69,Gapuwiyak Pre School,,"{'description': 'N/A', 'state': 'NT', 'postCode': 'Gapuwiyak', 'displayAddress': 'N/A, Gapuwiyak, NT'}","{'description': None, 'state': None, 'postCode': ', ', 'displayAddress': ', , , '}","ou=Gapuwiyak Pre School,ou=Gapuwiyak School,ou=Government,ou=NTSchools,ou=DEET,dc=nt,dc=gov,c=au",[],East Arnhem,,,2021 Census - 1st week August,,,False,False,False,False,False,False,(08) 8987 9122,['Preschool'],,,Arnhem,(08) 8987 9109,,,,,,,,[]
70,Gapuwiyak School,,"{'description': 'N/a', 'state': 'NT', 'postCode': 'Gapuwiyak', 'displayAddress': 'N/a, Gapuwiyak, NT'}","{'description': 'PMB 900', 'state': 'NT', 'postCode': 'Via Winnellie, 0822', 'displayAddress': 'PMB 900, Via Winnellie, 0822, NT'}","ou=Gapuwiyak School,ou=Government,ou=NTSchools,ou=DEET,dc=nt,dc=gov,c=au",[],East Arnhem,Very Remote,198,2021 Census - 1st week August,N/A,Government,True,True,True,True,True,True,(08) 8987 9122,['Remote School'],,North ,Arnhem,(08) 8987 9109,tba,Remote Category 3,135.80806,-12.50553,n/a,kylie.hendry1@education.nt.gov.au,,"[{'firstName': 'Christopher', 'lastName': ""O'Neill"", 'position': 'Principal', 'email': 'christopher.oneill@education.nt.gov.au', 'phone': '(08) 8987 9122'}]"
71,Gawa Christian School,Gäwa Christian School commenced as part of the NT Christian Schools system in 2004 and provides educational opportunities to students from Gäwa and surrounding Homelands.  The school is registered from Transition to Year 10 and has around 35 students enrolled. A community-based ‘play group’ is also run out of the school on 3 mornings per week.  Students at Gäwa Christian School are supported by community Elders as well as the school staff and students have the opportunity to receive quality education on their ancestral lands.,"{'description': 'Community ID 508', 'state': 'NT', 'postCode': 'Gawa', 'displayAddress': 'Community ID 508, Gawa, NT'}","{'description': 'PMB 257', 'state': 'NT', 'postCode': 'Elcho Island via Winnellie, 0822', 'displayAddress': 'PMB 257, Elcho Island via Winnellie, 0822, NT'}","ou=Gawa Christian School,ou=Non-Government,ou=NTSchools,ou=DEET,dc=nt,dc=gov,c=au",[],East Arnhem,Very Remote ,55,2018 Census,Gäwa Christian School commenced as part of the NT Christian Schools system in 2004 and provides educational opportunities to students from Gäwa and surrounding Homelands.  The school is registered from Transition to Year 10 and has around 35 students enrolled. A community-based ‘play group’ is also run out of the school on 3 mornings per week.  Students at Gäwa Christian School are supported by community Elders as well as the school staff and students have the opportunity to receive quality education on their ancestral lands.,Christian,False,False,False,True,True,True,8970 5212,['School'],,East Arnhem,Mulka,8970 5210,,,135.905331,-11.759919,not available,admin.gcs@ntschools.net,,"[{'firstName': 'Rachel', 'lastName': 'Herweynen', 'position': 'Principal', 'email': 'rachel.herweynen@ntschools.net', 'phone': '8970 5212'}]"
72,Gillen Pre School,,"{'description': '12 Newland St', 'state': 'NT', 'postCode': 'Alice Springs', 'displayAddress': '12 Newland St, Alice Springs, NT'}","{'description': None, 'state': None, 'postCode': ', ', 'displayAddress': ', , , '}","ou=Gillen Pre School,ou=Gillen Primary School,ou=Government,ou=NTSchools,ou=DEET,dc=nt,dc=gov,c=au",[],Central,,,2021 Census - 1st week August,,,False,True,False,False,False,False,(08) 8952 2355,['Preschool'],,,Araluen,(08) 89534804,,,,,,,,[]
73,Gillen Primary School,,"{'description': '55 Milner Rd', 'state': 'NT', 'postCode': 'Alice Springs, 0870', 'displayAddress': '55 Milner Rd, Alice Springs, 0870, NT'}","{'description': 'PO Box 769', 'state': 'NT', 'postCode': 'ALICE SPRINGS, 0871', 'displayAddress': 'PO Box 769, ALICE SPRINGS, 0871, NT'}","ou=Gillen Primary School,ou=Government,ou=NTSchools,ou=DEET,dc=nt,dc=gov,c=au",[],Central,Remote,237,2021 Census - 1st week August,not available,Government,True,True,True,True,False,False,(08) 895 52155,['Primary School'],,Central Australia,Araluen,-,tba,Urban,133.869042,-23.708104,http://www.gillenprimary.nt.edu.au/,gillen.school@education.nt.gov.au,,"[{'firstName': 'Nadine', 'lastName': 'Branagan', 'position': 'Business Manager', 'email': 'nadine.branagan@education.nt.gov.au', 'phone': '(08) 895 52155'}, {'firstName': 'Nadine', 'lastName': 'Branagan', 'position': 'Adminstration Manager', 'email': 'nadine.branagan@education.nt.gov.au', 'phone': '(08) 895 52155'}, {'firstName': 'Donna', 'lastName': ""O'Brien"", 'position': 'Principal', 'email': 'donna.obrien@education.nt.gov.au', 'phone': '(08) 895 52155'}]"
74,Girraween Pre School,,"{'description': '25 Carruth Rd', 'state': 'NT', 'postCode': 'Girraween', 'displayAddress': '25 Carruth Rd, Girraween, NT'}","{'description': None, 'state': None, 'postCode': ', ', 'displayAddress': ', , , '}","ou=Girraween Pre School,ou=Girraween Primary School,ou=Government,ou=NTSchools,ou=DEET,dc=nt,dc=gov,c=au",[],Top End,,,2021 Census - 1st week August,,,False,True,False,False,False,False,(08) 8983 3300,['Preschool'],,,Nelson,(08) 8983 4202,,,,,,,,[]
75,Girraween Primary School,,"{'description': '25 Carruth Rd', 'state': 'NT', 'postCode': 'Girraween, 0835', 'displayAddress': '25 Carruth Rd, Girraween, 0835, NT'}","{'description': 'PO Box 1042', 'state': 'NT', 'postCode': 'HOWARD SPRINGS, 0835', 'displayAddress': 'PO Box 1042, HOWARD SPRINGS, 0835, NT'}","ou=Girraween Primary School,ou=Government,ou=NTSchools,ou=DEET,dc=nt,dc=gov,c=au",[],Top End,Outer Regional,493,2021 Census - 1st week August,not available,Government,True,True,False,True,False,False,(08) 8983 3300,['Primary School'],,North ,Nelson,(08) 8983 4202,tba,Urban,131.103,-12.5224,http://www.girraweenprimary.nt.edu.au/,admin.girrasch@education.nt.gov.au,,"[{'firstName': 'Megan', 'lastName': 'McKenzie', 'position': 'Principal', 'email': 'megan.mckenzie@education.nt.gov.au', 'phone': '(08) 8983 3300'}, {'firstName': 'Debra', 'lastName': 'Weir', 'position': 'Business Manager', 'email': 'debra.weir@education.nt.gov.au', 'phone': '(08) 8983 3300'}]"
76,Good Shepherd - Leanyer Campus,,"{'description': '94 Leanyer Drive', 'state': 'NT', 'postCode': 'Leanyer', 'displayAddress': '94 Leanyer Drive, Leanyer, NT'}","{'description': 'PO Box 1146', 'state': 'NT', 'postCode': 'Howard Springs, 0831', 'displayAddress': 'PO Box 1146, Howard Springs, 0831, NT'}","ou=Good Shepherd - Leanyer Campus,ou=Non-Government,ou=NTSchools,ou=DEET,dc=nt,dc=gov,c=au",[],Darwin,Provincial,,2018 Census,n/a,Independent,False,True,False,True,False,False,(08) 8983 0300,['Primary School'],,Darwin,Wanguri,,n/a,n/a,130.89951,-12.37352,http://www.goodshepherd.nt.edu.au,admin@goodshepherd.nt.edu.au,,"[{'firstName': 'Matthew', 'lastName': 'Qualischefski', 'position': 'Principal', 'email': 'matthew.q@ntschools.net', 'phone': '(08) 8983 0333'}]"
77,Good Shepherd Lutheran College,,"{'description': 'Cnr Whitewood Rd and Kundook Place', 'state': 'NT', 'postCode': 'Howard Springs', 'displayAddress': 'Cnr Whitewood Rd and Kundook Place, Howard Springs, NT'}","{'description': 'PO Box 1146', 'state': 'NT', 'postCode': 'Howard Springs, 0831', 'displayAddress': 'PO Box 1146, Howard Springs, 0831, NT'}","ou=Good Shepherd Lutheran College,ou=Non-Government,ou=NTSchools,ou=DEET,dc=nt,dc=gov,c=au",[],Top End,Provincial,1262,2018 Census,N/A,Independent,False,True,False,True,True,True,08 89830300,['Middle School'],,Darwin,Nelson,(08) 8983 0333,,,,,http://www.goodshepherd.nt.edu.au,admin@goodshepherd.nt.edu.au,,"[{'firstName': 'Matthew', 'lastName': 'Qualischefski', 'position': 'Principal', 'email': 'matthew.q@ntschools.net', 'phone': '8983 0300'}]"
78,Good Shepherd Lutheran School,,"{'description': 'Cnr Emery Ave and Temple Tce', 'state': 'NT', 'postCode': 'Palmerston', 'displayAddress': 'Cnr Emery Ave and Temple Tce, Palmerston, NT'}","{'description': 'PO Box 1146', 'state': 'NT', 'postCode': 'Howard Springs, 0831', 'displayAddress': 'PO Box 1146, Howard Springs, 0831, NT'}","ou=Good Shepherd Lutheran School,ou=Non-Government,ou=NTSchools,ou=DEET,dc=nt,dc=gov,c=au",['Good Shepherd Lutheran College - Palmerston Campus'],Top End,Provincial,,2018 Census,not available,Independent,False,False,False,True,False,False,(08) 8983 0300,['Primary School'],,Darwin,Drysdale,(08) 8983 0333,,,130.97595,-12.49292,http://www.goodshepherd.nt.edu.au,admin@goodshepherd.nt.edu.au,,"[{'firstName': 'Matthew', 'lastName': 'Qualischefski', 'position': 'Principal', 'email': 'matthew.q@ntschools.net', 'phone': '08 89830300'}]"
79,Gray Pre School,,"{'description': '22 Victoria Dr', 'state': 'NT', 'postCode': 'Gray', 'displayAddress': '22 Victoria Dr, Gray, NT'}","{'description': None, 'state': None, 'postCode': ', ', 'displayAddress': ', , , '}","ou=Gray Pre School,ou=Gray Primary School,ou=Government,ou=NTSchools,ou=DEET,dc=nt,dc=gov,c=au",[],Top End,,,2021 Census - 1st week August,,,False,True,False,False,False,False,(08) 8932 1700,['Preschool'],,,Drysdale,(08) 8932 1007,,,,,,,,[]
80,Gray Primary School,,"{'description': '22 Victoria Drive', 'state': 'NT', 'postCode': 'Gray, 0830', 'displayAddress': '22 Victoria Drive, Gray, 0830, NT'}","{'description': 'Victoria Drive', 'state': 'NT', 'postCode': 'GRAY, 0830', 'displayAddress': 'Victoria Drive, GRAY, 0830, NT'}","ou=Gray Primary School,ou=Government,ou=NTSchools,ou=DEET,dc=nt,dc=gov,c=au",[],Top End,Outer Regional,309,2021 Census - 1st week August,not available,Government,True,True,True,True,False,False,(08) 8932 1700,['Primary School'],,North ,Drysdale,(08) 8932 1007,tba,Urban,130.98015,-12.48961,http://www.grayprimary.nt.edu.au,admin.graysch@education.nt.gov.au,,"[{'firstName': 'Anne', 'lastName': 'Griffiths', 'position': 'Business Manager', 'email': 'anne.griffiths1@education.nt.gov.au', 'phone': '(08) 8932 1700'}, {'firstName': 'Donna', 'lastName': 'Westaway', 'position': 'Principal', 'email': 'donna.poetschka@education.nt.gov.au', 'phone': '(08) 8932 1700'}]"
81,Gunbalanya Pre School,,"{'description': 'N/a', 'state': 'NT', 'postCode': 'Gunbalanya', 'displayAddress': 'N/a, Gunbalanya, NT'}","{'description': None, 'state': None, 'postCode': ', ', 'displayAddress': ', , , '}","ou=Gunbalanya Pre School,ou=Gunbalanya School,ou=Government,ou=NTSchools,ou=DEET,dc=nt,dc=gov,c=au",[],Top End,,,2021 Census - 1st week August,,,False,False,False,False,False,False,(08) 8979 0181,['Preschool'],,,Arafura,(08) 8979 0143,,,,,,,,[]
82,Gunbalanya School,,"{'description': 'N/A', 'state': 'NT', 'postCode': 'Gunbalanya', 'displayAddress': 'N/A, Gunbalanya, NT'}","{'description': 'PMB 66', 'state': 'NT', 'postCode': 'Gunbalanya, 0822', 'displayAddress': 'PMB 66, Gunbalanya, 0822, NT'}","ou=Gunbalanya School,ou=Government,ou=NTSchools,ou=DEET,dc=nt,dc=gov,c=au",[],Top End,Very Remote,243,2021 Census - 1st week August,N/a,Government,True,True,True,True,True,True,(08) 8979 0181,['Remote School'],,North,Arafura,(08) 8979 0143,tba,Remote Category 3,133.05709,-12.32135,http://www.gunbalanyaschool.nt.edu.au/,admin.gunbacec@education.nt.gov.au,,"[{'firstName': 'Sue', 'lastName': 'Trimble', 'position': 'Principal', 'email': 'sue.trimble@education.nt.gov.au', 'phone': '(08) 8979 0181'}]"
83,Haasts Bluff School,,"{'description': 'N/A', 'state': 'NT', 'postCode': 'Haasts Bluff (Ikuntji), 0872', 'displayAddress': 'N/A, Haasts Bluff (Ikuntji), 0872, NT'}","{'description': 'Haasts Bluff', 'state': 'NT', 'postCode': 'via Alice Springs, 0872', 'displayAddress': 'Haasts Bluff, via Alice Springs, 0872, NT'}","ou=Haasts Bluff School,ou=Government,ou=NTSchools,ou=DEET,dc=nt,dc=gov,c=au","['Ikuntji', 'Kunparrka']",Central,Very Remote,15,2021 Census - 1st week August,not available,Government,True,True,False,True,True,False,(08) 8956 8550,['Small School'],,Central Australia,Gwoja,(08) 8956 8550,tba,Remote Category 3,131.88003,-23.44753,n/a,geoff.gillman@education.nt.gov.au,,"[{'firstName': 'Lufen', 'lastName': 'Cowham', 'position': 'Administration Manager', 'email': 'lufen.cowham@education.nt.gov.au', 'phone': '(08) 895 11659'}, {'firstName': 'Geoff', 'lastName': 'Gillman', 'position': 'Principal', 'email': 'geoff.gillman@education.nt.gov.au', 'phone': '(08) 8956 8550'}]"
84,Haileybury Rendall School,,"{'description': '6057 Berrimah Road', 'state': 'NT', 'postCode': 'Berrimah', 'displayAddress': '6057 Berrimah Road, Berrimah, NT'}","{'description': 'PO Box 241', 'state': 'NT', 'postCode': 'Berrimah, 0828', 'displayAddress': 'PO Box 241, Berrimah, 0828, NT'}","ou=Haileybury Rendall School,ou=Non-Government,ou=NTSchools,ou=DEET,dc=nt,dc=gov,c=au",[],Darwin,Provincial,393,2018 Census,n/a,Independent,False,False,False,False,True,True,(08) 8922 1611,['High School'],,Darwin,Fong Lim,(08) 8947 792,,,130.92232,-12.44235,http://www.haileyburyrendall.com.au,hrs.admin@hrs.edu.au,,"[{'firstName': 'Andrew', 'lastName': 'McGregor', 'position': 'Principal', 'email': 'andrew.mcgregor@hrs.edu.au', 'phone': '(08) 8922 1611'}]"
85,Harts Range School,,"{'description': 'N/A', 'state': 'NT', 'postCode': 'Atitjere (Harts Range)', 'displayAddress': 'N/A, Atitjere (Harts Range), NT'}","{'description': 'PMB 162', 'state': 'NT', 'postCode': 'via Alice Springs, 0871', 'displayAddress': 'PMB 162, via Alice Springs, 0871, NT'}","ou=Harts Range School,ou=Government,ou=NTSchools,ou=DEET,dc=nt,dc=gov,c=au","['Atitjere', 'Hart Range']",Central,Very Remote,53,2021 Census - 1st week August,not available,Government,True,True,True,True,True,False,(08) 8956 9771,['Small School'],,Central Australia,Namatjira,(08) 8956 9515,tba,Remote Category 2,134.933,-22.9844,n/a,kylie.mckay@education.nt.gov.au,,"[{'firstName': 'Sahil', 'lastName': 'Gusiya', 'position': 'Administration Manager', 'email': 'sahil.gusiya@education.nt.gov.au', 'phone': '(08) 895 11641'}, {'firstName': 'Kylie', 'lastName': 'McKay', 'position': 'Principal', 'email': 'kylie.mckay@education.nt.gov.au', 'phone': '(08) 8956 9771'}]"
86,Henbury School,,"{'description': '11 Henbury Avenue', 'state': 'NT', 'postCode': 'Tiwi, 0810', 'displayAddress': '11 Henbury Avenue, Tiwi, 0810, NT'}","{'description': '11 Henbury Avenue', 'state': 'NT', 'postCode': 'Tiwi, 0810', 'displayAddress': '11 Henbury Avenue, Tiwi, 0810, NT'}","ou=Henbury School,ou=Government,ou=NTSchools,ou=DEET,dc=nt,dc=gov,c=au",[],Darwin,Outer Regional,149,2021 Census - 1st week August,not available,Government,True,False,False,False,True,True,(08) 899 77077,['Specialist School'],,North,Casuarina,,tba,Urban,130.88352,-12.36919,http://www.henburyschool.org.au/,henbury.admin@education.nt.gov.au,,"[{'firstName': 'Sarah', 'lastName': 'Corry', 'position': 'Principal', 'email': 'sarah.corry@education.nt.gov.au', 'phone': '(08) 899 77077'}]"
87,Holy Family Catholic School,,"{'description': 'Calytrix Road', 'state': 'NT', 'postCode': 'Karama', 'displayAddress': 'Calytrix Road, Karama, NT'}","{'description': 'PO Box 40870', 'state': 'NT', 'postCode': 'Casuarina, 0812', 'displayAddress': 'PO Box 40870, Casuarina, 0812, NT'}","ou=Holy Family Catholic School,ou=Non-Government,ou=NTSchools,ou=DEET,dc=nt,dc=gov,c=au",[],Darwin,Provincial,230,2018 Census,not available,Catholic,False,False,False,True,False,False,(08) 89276188,['Primary School'],,Darwin,Karama,(08) 8945 2254,,,130.91166,-12.39367,http://www.holyfamilynt.catholic.edu.au/,admin.holyfamily@nt.catholic.edu.au,,"[{'firstName': 'Michelle', 'lastName': 'Garbutt', 'position': 'Principal', 'email': 'michelle.garbutt@nt.catholic.edu.au', 'phone': '08 89276188'}]"
